Performance Statistics   2017-01-03 22:37:00 - 2017-01-03 22:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:26:00 - 2017-01-04 10:27:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:27:00 - 2017-01-04 10:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:28:00 - 2017-01-04 10:29:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:29:00 - 2017-01-04 10:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:30:00 - 2017-01-04 10:31:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:31:00 - 2017-01-04 10:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:32:00 - 2017-01-04 10:33:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:33:00 - 2017-01-04 10:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:34:00 - 2017-01-04 10:35:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:35:00 - 2017-01-04 10:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:36:00 - 2017-01-04 10:37:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:37:00 - 2017-01-04 10:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:38:00 - 2017-01-04 10:39:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:39:00 - 2017-01-04 10:40:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:40:00 - 2017-01-04 10:41:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:41:00 - 2017-01-04 10:42:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:42:00 - 2017-01-04 10:43:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:43:00 - 2017-01-04 10:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:44:00 - 2017-01-04 10:45:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:45:00 - 2017-01-04 10:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:46:00 - 2017-01-04 10:47:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:47:00 - 2017-01-04 10:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:48:00 - 2017-01-04 10:49:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:49:00 - 2017-01-04 10:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:50:00 - 2017-01-04 10:51:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:51:00 - 2017-01-04 10:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:52:00 - 2017-01-04 10:53:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:53:00 - 2017-01-04 10:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:54:00 - 2017-01-04 10:55:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:55:00 - 2017-01-04 10:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 10:56:00 - 2017-01-04 10:57:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 12:03:00 - 2017-01-04 12:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 12:04:00 - 2017-01-04 12:05:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 12:05:00 - 2017-01-04 12:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 12:06:00 - 2017-01-04 12:07:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 12:07:00 - 2017-01-04 12:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 12:08:00 - 2017-01-04 12:09:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 13:55:00 - 2017-01-04 13:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 13:56:00 - 2017-01-04 13:57:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 13:57:00 - 2017-01-04 13:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 13:58:00 - 2017-01-04 13:59:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 13:59:00 - 2017-01-04 14:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:00:00 - 2017-01-04 14:01:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:01:00 - 2017-01-04 14:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:02:00 - 2017-01-04 14:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:03:00 - 2017-01-04 14:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:04:00 - 2017-01-04 14:05:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:05:00 - 2017-01-04 14:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:06:00 - 2017-01-04 14:07:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:07:00 - 2017-01-04 14:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:08:00 - 2017-01-04 14:09:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:09:00 - 2017-01-04 14:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:10:00 - 2017-01-04 14:11:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:11:00 - 2017-01-04 14:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:12:00 - 2017-01-04 14:13:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:13:00 - 2017-01-04 14:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:14:00 - 2017-01-04 14:15:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:43:00 - 2017-01-04 14:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:44:00 - 2017-01-04 14:45:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:45:00 - 2017-01-04 14:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:46:00 - 2017-01-04 14:47:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:47:00 - 2017-01-04 14:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:48:00 - 2017-01-04 14:49:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:49:00 - 2017-01-04 14:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:50:00 - 2017-01-04 14:51:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:51:00 - 2017-01-04 14:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:52:00 - 2017-01-04 14:53:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:53:00 - 2017-01-04 14:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:54:00 - 2017-01-04 14:55:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:55:00 - 2017-01-04 14:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:56:00 - 2017-01-04 14:57:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:57:00 - 2017-01-04 14:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:58:00 - 2017-01-04 14:59:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 14:59:00 - 2017-01-04 15:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 15:00:00 - 2017-01-04 15:01:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 15:01:00 - 2017-01-04 15:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 15:02:00 - 2017-01-04 15:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 15:03:00 - 2017-01-04 15:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 15:04:00 - 2017-01-04 15:05:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 15:05:00 - 2017-01-04 15:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 15:06:00 - 2017-01-04 15:07:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 15:43:00 - 2017-01-04 15:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                             133,0         133         133         0,0           1
LoadClass                                                0,2           0           1         0,4           9
MenuItem.doors$Order.browse                           1355,0        1355        1355         0,0           1
Messages.searchClasspath                                 0,0           0           9         0,5        1063
Messages.searchFiles                                     0,0           0           9         0,3        1063
Metadata.replaceExtendedMetaClasses                      1,5           1           2         0,5           2
PersistenceSecurity.applyConstraints(..)                 1,7           0           8         2,9           6
QueryParser.getEntityAlias()                             0,5           0           2         0,8           6
QueryParser.getEntityName()                              6,0           0         189        31,9          34
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          28
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          28
QueryParser.getParamNames()                              0,1           0           2         0,3          34
QueryParser.hasIsNullCondition(..)                       0,9           0           6         2,0           8
QueryParser.isCollectionSecondaryEntitySelect()          0,0           0           0         0,0           6
QueryTransformer.addEntityInGroupBy(..)                  0,0           0           0         0,0           6
QueryTransformer.addFirstSelectionSource(..)             0,0           0           0         0,0           6
QueryTransformer.addWhereAsIs(..)                        0,2           0           1         0,4           6
QueryTransformer.getResult()                             0,2           0           1         0,4           6
QueryTransformer.replaceWithSelectEntityVariable(..)         0,3           0           1         0,5           6
SearchFolders                                          135,0         135         135         0,0           1
Security.isEntityAttrReadPermitted(..)                   0,0           0           0         0,0         733
Security.isEntityOpPermitted(..)                         0,0           0           0         0,0           6
ViewRepository.init.ViewRepositoryClientImpl            13,0          13          13         0,0           1
ViewRepository.init.ViewRepositoryImpl                  12,0          12          12         0,0           1

Performance Statistics   2017-01-04 15:44:00 - 2017-01-04 15:45:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-01-04 15:45:00 - 2017-01-04 15:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Messages.searchClasspath                                 0,5           0          19         3,0          40
Messages.searchFiles                                     0,0           0           0         0,0          45

Performance Statistics   2017-01-04 20:57:00 - 2017-01-04 20:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                             133,0         133         133         0,0           1
LoadClass                                                0,3           0           1         0,5           6
Messages.searchClasspath                                 0,1           0          12         0,6         628
Messages.searchFiles                                     0,0           0           9         0,4         628
Metadata.replaceExtendedMetaClasses                      1,5           1           2         0,5           2
PersistenceSecurity.applyConstraints(..)                15,0          15          15         0,0           1
QueryParser.getEntityAlias()                             3,0           3           3         0,0           1
QueryParser.getEntityName()                             14,7           0         205        50,9          15
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          14
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0,0           0           0         0,0          14
QueryParser.getParamNames()                              0,3           0           4         1,0          15
QueryParser.hasIsNullCondition(..)                      14,0          14          14         0,0           1
QueryParser.isCollectionSecondaryEntitySelect()          0,0           0           0         0,0           4
QueryTransformer.addEntityInGroupBy(..)                  0,0           0           0         0,0           4
QueryTransformer.addFirstSelectionSource(..)             0,0           0           0         0,0           4
QueryTransformer.addWhereAsIs(..)                        0,3           0           1         0,4           4
QueryTransformer.getResult()                             0,3           0           1         0,4           4
